Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value
Data Source,Case_00_Surv : TMD : GAGARINSAT_CFG5_CASE_00_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFG5_CASE_00_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFG5_CASE_00_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFG5_CASE_00_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFG5_CASE_00_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFG5_CASE_00_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFG5_CASE_00_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFG5_CASE_00_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFG5_CASE_00_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFG5_CASE_00_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFG5_CASE_00_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFG5_CASE_00_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFG5_CASE_00_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFG5_CASE_00_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFG5_CASE_00_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFG5_CASE_00_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFG5_CASE_00_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFG5_CASE_00_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFG5_CASE_00_
Element,BODY_CUTTED,Element,Body_plate_1,Element,Body_plate_2,Element,Electronic_Box,Element,IR_TEL_CCD,Element,IR_TEL_LENS,Element,IR_TEL_OBJ,Element,IR_TEL_STR,Element,IR_TEL_STR_2,Element,MLI_CUTTED,Element,MLI_IR_TEL_CUTTED,Element,Payload_1,Element,Payload_2,Element,RAD_INS,Element,RAD_IR_TEL,Element,RAD_IR_TEL_2,Element,RAD_IR_TEL_STR,Element,RAD_STR,Element,Solar_Panles_xPlus
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature
0.0,-6.902338154024708,0.0,-6.1465099498586975,0.0,-1.2005204158859901,0.0,-0.9584521063723921,0.0,-62.64319035480263,0.0,-23.933379732393387,0.0,-28.75544302348944,0.0,-28.019267028477238,0.0,-28.8592768222572,0.0,-33.037697971203,0.0,-45.19387871635274,0.0,-6.021007306437192,0.0,-5.904370535439902,0.0,-7.774880089312791,0.0,-63.241300607491645,0.0,-62.7966276128938,0.0,-28.87401881612033,0.0,-12.070699039847575,0.0,-8.909139259854564
605.9285888671875,-10.154155196238133,605.9285888671875,-7.425844811143451,605.9285888671875,-4.154153038272218,605.9285888671875,-3.073990080589176,605.9285888671875,-63.38805611315951,605.9285888671875,-24.06434597449392,605.9285888671875,-32.84145590760664,605.9285888671875,-32.160448641035416,605.9285888671875,-32.83208577174402,605.9285888671875,-36.749859602691956,605.9285888671875,-50.49161410244445,605.9285888671875,-6.921397480341985,605.9285888671875,-6.765833310863171,605.9285888671875,-8.953205222343296,605.9285888671875,-63.96795725400483,605.9285888671875,-63.52473379562444,605.9285888671875,-32.95005625289781,605.9285888671875,-14.157445423517578,605.9285888671875,-18.240266188460236
1211.857177734375,-9.893986742658925,1211.857177734375,-8.419054928974653,1211.857177734375,-5.761028025505279,1211.857177734375,-4.5668233247554175,1211.857177734375,-63.551632654245644,1211.857177734375,-24.200610547343626,1211.857177734375,-28.934668589269506,1211.857177734375,-27.80188525617813,1211.857177734375,-28.449615522807818,1211.857177734375,10.306809484971454,1211.857177734375,22.76984869877174,1211.857177734375,-8.047622756618207,1211.857177734375,-7.844378668027306,1211.857177734375,-9.839033875696247,1211.857177734375,-63.997791346817756,1211.857177734375,-63.702098369494436,1211.857177734375,-28.9019187215316,1211.857177734375,-15.862287240765445,1211.857177734375,7.966264133395499
1817.7857666015625,-6.9667102705978055,1817.7857666015625,-8.50779412290027,1817.7857666015625,-4.269677299201442,1817.7857666015625,-4.05038939143958,1817.7857666015625,-63.19193211036434,1817.7857666015625,-24.27247543859479,1817.7857666015625,-26.76122413233154,1817.7857666015625,-25.544352181529305,1817.7857666015625,-25.10435694937012,1817.7857666015625,30.012226718731313,1817.7857666015625,24.416598475150153,1817.7857666015625,-8.686535433992194,1817.7857666015625,-8.443919761740657,1817.7857666015625,-9.827008000819266,1817.7857666015625,-63.63137587745681,1817.7857666015625,-63.35008403006562,1817.7857666015625,-26.696169784132845,1817.7857666015625,-16.01547171788911,1817.7857666015625,29.823168724931744
2423.71435546875,-4.27850240136165,2423.71435546875,-8.171102415933566,2423.71435546875,-2.036542742190668,2423.71435546875,-2.6683466243471186,2423.71435546875,-62.608680802106605,2423.71435546875,-24.290287793963884,2423.71435546875,-23.74936549030523,2423.71435546875,-22.433230144169652,2423.71435546875,-20.978333062915805,2423.71435546875,41.706879456718355,2423.71435546875,10.566364582903889,2423.71435546875,-8.721020233445008,2423.71435546875,-8.428442840109769,2423.71435546875,-9.168312805570485,2423.71435546875,-63.03372623004366,2423.71435546875,-62.7791294432495,2423.71435546875,-23.68524849966405,2423.71435546875,-14.629355501262026,2423.71435546875,41.98972845160262
3029.6429443359375,-2.2999505809151914,3029.6429443359375,-7.566128445992261,3029.6429443359375,-0.08915398152898507,3029.6429443359375,-1.2416056066866747,3029.6429443359375,-62.047681982014474,3029.6429443359375,-24.256725874800562,3029.6429443359375,-21.481640015474156,3029.6429443359375,-20.19006801513052,3029.6429443359375,-18.719012874534883,3029.6429443359375,45.56695428540424,3029.6429443359375,4.676507812913509,3029.6429443359375,-8.32024080354463,3029.6429443359375,-7.976019811664114,3029.6429443359375,-8.35596021676124,3029.6429443359375,-62.468639848135815,3029.6429443359375,-62.22756894110271,3029.6429443359375,-21.431962358971585,3029.6429443359375,-12.682746260871006,3029.6429443359375,47.419367718413255
3635.571533203125,-0.36206903620191033,3635.571533203125,-6.711065872613134,3635.571533203125,1.590029813598305,3635.571533203125,1.601319434417492E-4,3635.571533203125,-61.5325796865034,3635.571533203125,-24.19111203926138,3635.571533203125,-20.166301949685476,3635.571533203125,-18.92997191398552,3635.571533203125,-18.554928298332847,3635.571533203125,46.22734346987114,3635.571533203125,22.555509246838053,3635.571533203125,-7.681467323185794,3635.571533203125,-7.332085313364947,3635.571533203125,-7.755497954942502,3635.571533203125,-61.997515590653826,3635.571533203125,-61.71805487202387,3635.571533203125,-20.12623072274098,3635.571533203125,-11.150309028254878,3635.571533203125,50.64580477854911
4241.5001220703125,1.318039394596523,4241.5001220703125,-5.719003523148815,4241.5001220703125,3.221928619580777,4241.5001220703125,1.1709183565413084,4241.5001220703125,-61.190251817719805,4241.5001220703125,-24.11573044224902,4241.5001220703125,-20.42540063275156,4241.5001220703125,-19.255473169911525,4241.5001220703125,-20.567022798812527,4241.5001220703125,29.973129145240378,4241.5001220703125,32.77740378705125,4241.5001220703125,-6.901429027862687,4241.5001220703125,-6.629966628368066,4241.5001220703125,-7.260735742246118,4241.5001220703125,-61.70251079485495,4241.5001220703125,-61.37431335370367,4241.5001220703125,-20.443613494449966,4241.5001220703125,-10.456892333353528,4241.5001220703125,51.93956567847939
4847.4287109375,1.535333009762242,4847.4287109375,-4.826214219725653,4847.4287109375,4.194412449469399,4847.4287109375,2.0520216432781955,4847.4287109375,-61.0366334696965,4847.4287109375,-24.016734152172894,4847.4287109375,-17.262615355201177,4847.4287109375,-16.035778926264477,4847.4287109375,-17.69876587541125,4847.4287109375,4.621397228859947,4847.4287109375,7.8088351064808466,4847.4287109375,-6.065874672249712,4847.4287109375,-5.896721631184232,4847.4287109375,-6.666281452371521,4847.4287109375,-61.68902345288702,4847.4287109375,-61.2408715009773,4847.4287109375,-17.361152774928623,4847.4287109375,-9.973515907458522,4847.4287109375,41.000802007519894
5453.3572998046875,-2.954373015086769,5453.3572998046875,-5.172895681435285,5453.3572998046875,2.0480618571589932,5453.3572998046875,1.0800166430665359,5453.3572998046875,-61.82863422092301,5453.3572998046875,-23.95389698288545,5453.3572998046875,-23.521958968175618,5453.3572998046875,-22.696895515000882,5453.3572998046875,-23.77752487343775,5453.3572998046875,-25.521480921356346,5453.3572998046875,-33.9489824869761,5453.3572998046875,-5.657978278771797,5453.3572998046875,-5.543748212837341,5453.3572998046875,-6.956479357447518,5453.3572998046875,-62.457700396764345,5453.3572998046875,-62.00446161126513,5453.3572998046875,-23.651221209050185,5453.3572998046875,-10.452897890455684,5453.3572998046875,7.344044604898498
6059.28564453125,-6.902979982076886,6059.28564453125,-6.147269015951993,6059.28564453125,-1.2011767662939155,6059.28564453125,-0.9591463110110039,6059.28564453125,-62.64367419102118,6059.28564453125,-24.001643100666946,6059.28564453125,-28.756717412264365,6059.28564453125,-28.020513405914848,6059.28564453125,-28.86051626141678,6059.28564453125,-33.0381570033019,6059.28564453125,-45.194569551517496,6059.28564453125,-6.021782953156533,6059.28564453125,-5.9051427271293395,6059.28564453125,-7.775603179761417,6059.28564453125,-63.241768418456424,6059.28564453125,-62.7971037469039,6059.28564453125,-28.875274341630366,6059.28564453125,-12.071386855260235,6059.28564453125,-8.909260685236175
